User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
1,Ronald Murphy,williamholland@example.com,williamholland,03/06/53,Male,Rebeccachester,15/01/24,14/01/25,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
2,Scott Allen,scott22@example.org,scott22,08/07/78,Male,Mcphersonview,07/01/24,06/01/25,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
3,Jonathan Parrish,brooke16@example.org,brooke16,06/12/94,Female,Youngfort,13/04/24,13/04/25,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
4,Megan Williams,elizabeth31@example.net,elizabeth31,22/12/64,Female,Feliciashire,24/01/24,23/01/25,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,04/06/61,Male,Port Deborah,14/02/24,13/02/25,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
6,Sandra Cox,gparks@example.org,gparks,19/09/54,Female,Lake Johnathan,15/01/24,14/01/25,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
7,Benjamin Marshall,michaellewis@example.net,michaellewis,09/02/03,Male,Carlsonchester,08/04/24,08/04/25,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
8,James Smith,adrienne49@example.org,adrienne49,04/10/46,Male,West Matthewborough,16/02/24,15/02/25,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
9,Bradley Green,brittany02@example.net,brittany02,24/12/50,Female,Karenshire,09/04/24,09/04/25,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4,8
10,Kayla Hernandez,jessica53@example.net,jessica53,16/06/63,Male,West Stephen,10/03/24,10/03/25,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
11,Douglas Hampton,tonya16@example.com,tonya16,28/11/97,Female,Cynthiaport,24/03/24,24/03/25,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4,1
12,Andrew Gomez,brian80@example.org,brian80,08/09/52,Female,Hillberg,07/03/24,07/03/25,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
13,Kevin Mayo,hochoa@example.net,hochoa,18/11/81,Female,Michaeltown,10/01/24,09/01/25,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
14,Gregory Thomas,egriffin@example.com,egriffin,17/08/89,Female,Harrisport,07/01/24,06/01/25,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,07/04/03,Male,East Janetfurt,23/02/24,22/02/25,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
16,Brittany Crane,jasonbowers@example.org,jasonbowers,19/03/93,Female,Port Jeremyfurt,03/01/24,02/01/25,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5,0
17,Robert Gonzalez,cday@example.com,cday,02/05/52,Female,Quinnberg,25/03/24,25/03/25,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
18,Mindy Baxter,phumphrey@example.net,phumphrey,16/11/78,Female,New Brandon,23/01/24,22/01/25,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
19,Michael Smith,paige55@example.org,paige55,30/08/45,Female,South Michaelhaven,27/01/24,26/01/25,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
20,Joseph Owens,christopher25@example.org,christopher25,29/09/79,Female,Port Derekton,15/03/24,15/03/25,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,05/07/56,Male,New Matthewbury,15/03/24,15/03/25,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
